Arrival,Captain America: Civil War,Captain Fantastic,Deadpool,Elle,Fantastic Beasts and Where to Find Them,Fences,Finding Dory,Florance Foster Jenkins,Hacksaw Ridge,Hell or High Water,Hidden Figures,Jackie,La La Land,Lion,Loving,Manchester by the Sea,Moana,Moonlight,Nocturnal Animals,Rogue One,Silence,Split,Sully,The Secret Life of Pets
0,22,21,24,20,19,18,23,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
16,15,14,13,12,18,11,19,10,9,8,7,6,5,20,4,22,3,2,21,23,1,0,17,24
22,2,10,21,3,18,16,19,9,15,20,13,12,14,5,0,7,24,23,11,17,4,8,1,6
15,19,14,17,13,18,12,11,10,9,8,7,23,16,20,6,5,4,21,3,24,2,1,22,0
14,10,9,21,1,20,19,11,8,17,6,22,7,12,16,18,4,23,24,2,15,3,0,13,5
16,8,17,22,4,9,12,13,7,6,11,20,14,23,18,10,21,19,24,5,15,2,3,1,0
19,16,11,23,6,8,15,21,3,0,9,20,18,13,2,14,4,24,5,7,22,1,17,10,12
23,11,21,10,2,13,18,15,17,4,5,22,16,20,6,7,1,24,19,3,14,8,0,12,9
14,0,6,2,19,1,17,16,5,4,3,7,21,23,20,9,24,13,22,11,18,12,10,8,15
21,22,1,22,2,18,8,17,0,16,7,6,5,3,4,15,14,9,19,13,24,12,20,11,10
23,16,0,24,8,15,17,14,6,1,5,21,10,20,12,4,13,19,22,3,18,7,2,9,11
4,19,10,21,17,23,18,3,14,2,5,13,16,20,6,9,8,22,11,12,24,15,1,7,0
15,18,5,21,10,1,2,0,9,13,11,12,6,19,16,4,23,17,22,3,20,8,14,7,2
13,12,14,0,16,15,17,18,11,10,19,9,20,8,21,22,7,6,1,5,2,4,23,24,3
18,12,10,17,7,9,8,15,4,20,13,6,3,24,16,2,22,14,21,0,23,1,5,19,11
21,22,16,24,1,17,14,9,2,15,19,18,0,6,7,4,5,20,8,10,23,3,11,13,12
11,13,14,23,1,19,5,20,10,9,8,7,17,22,12,0,16,24,18,6,21,2,3,4,15
8,10,9,22,11,16,14,20,4,3,24,21,14,15,19,7,18,17,23,0,18,2,13,12,1
